subscriber_id,record_opening_time,record_closing_time,cc_total_octets_bytes,cc_input_octets_bytes,cc_output_octets_bytes,load_date
SUB_AB78EE11,2026-05-18 01:05:00,2026-05-18 01:06:00,14786893,10423163,4363730,2026-05-17 05:04:50
SUB_11633489,2026-05-22 20:46:00,2026-05-22 21:26:00,63073826,59632506,3441320,2026-05-17 05:04:50
SUB_A302D2B1,2026-05-23 07:10:00,2026-05-23 07:18:00,33997519,28367070,5630449,2026-05-17 05:04:50
SUB_16D92688,2026-05-21 09:28:00,2026-05-21 10:18:00,99245493,93688580,5556913,2026-05-17 05:04:50
SUB_3A2C511E,2026-05-20 23:51:00,2026-05-21 01:37:00,84460526,78293704,6166822,2026-05-17 05:04:50
SUB_80171029,2026-05-22 02:08:00,2026-05-22 03:48:00,71592077,63929009,7663068,2026-05-17 05:04:50
SUB_18E3D83F,2026-05-17 03:46:00,2026-05-17 06:02:00,13402384,12892817,509567,2026-05-17 05:04:50
SUB_F9C262ED,2026-05-18 16:49:00,2026-05-18 19:44:00,64927252,59919341,5007911,2026-05-17 05:04:50
SUB_8BA13E23,2026-05-22 01:33:00,2026-05-22 04:28:00,112538997,111335812,1203185,2026-05-17 05:04:50
SUB_5EEC9E8B,2026-05-16 23:10:00,2026-05-17 00:02:00,28559588,21210392,7349196,2026-05-17 05:04:50
SUB_EC2AC8D4,2026-05-19 03:37:00,2026-05-19 04:51:00,7246140,1227995,6018145,2026-05-17 05:04:50
SUB_C744240F,2026-05-23 07:09:00,2026-05-23 08:04:00,62805862,58863999,3941863,2026-05-17 05:04:50
SUB_EC2AC8D4,2026-05-22 02:14:00,2026-05-22 04:24:00,120628389,111752566,8875823,2026-05-17 05:04:50
SUB_F9C262ED,2026-05-22 02:05:00,2026-05-22 02:10:00,86695074,85850278,844796,2026-05-17 05:04:50
SUB_105653E3,2026-05-22 21:37:00,2026-05-23 00:36:00,120521784,114961646,5560138,2026-05-17 05:04:50
SUB_D52A65F4,2026-05-19 14:40:00,2026-05-19 16:22:00,83493844,76726997,6766847,2026-05-17 05:04:50
SUB_734C7E29,2026-05-22 05:46:00,2026-05-22 07:23:00,43916109,38773395,5142714,2026-05-17 05:04:50
SUB_7351513A,2026-05-19 13:22:00,2026-05-19 16:12:00,20440186,18954945,1485241,2026-05-17 05:04:50
SUB_5AC236BE,2026-05-19 14:25:00,2026-05-19 15:37:00,16499798,13750823,2748975,2026-05-17 05:04:50
SUB_181C01B5,2026-05-16 18:32:00,2026-05-16 19:26:00,61908234,52214471,9693763,2026-05-17 05:04:50
SUB_777B0717,2026-05-23 05:40:00,2026-05-23 07:29:00,118978800,109132290,9846510,2026-05-17 05:04:50
SUB_6EDA1624,2026-05-22 02:51:00,2026-05-22 04:36:00,67399689,65631138,1768551,2026-05-17 05:04:50
SUB_86C7538C,2026-05-22 16:50:00,2026-05-22 17:18:00,25189022,21516300,3672722,2026-05-17 05:04:50
SUB_ED407866,2026-05-18 15:35:00,2026-05-18 16:04:00,116834599,115355914,1478685,2026-05-17 05:04:50
SUB_3A2C511E,2026-05-18 00:53:00,2026-05-18 01:11:00,72206425,68697089,3509336,2026-05-17 05:04:50
SUB_1600888D,2026-05-19 13:06:00,2026-05-19 15:55:00,25044176,19326468,5717708,2026-05-17 05:04:50
SUB_86C7538C,2026-05-20 15:41:00,2026-05-20 17:51:00,105396875,104948072,448803,2026-05-17 05:04:50
SUB_21428928,2026-05-17 10:17:00,2026-05-17 11:08:00,36837835,34026074,2811761,2026-05-17 05:04:50
SUB_DBB8FA6E,2026-05-21 15:56:00,2026-05-21 17:34:00,109128113,105742887,3385226,2026-05-17 05:04:50
SUB_C288C510,2026-05-19 08:59:00,2026-05-19 09:27:00,3104915,204276,2900639,2026-05-17 05:04:50
SUB_308131EA,2026-05-16 17:45:00,2026-05-16 20:43:00,56856016,53958674,2897342,2026-05-17 05:04:50
SUB_F0B7E67A,2026-05-17 15:13:00,2026-05-17 15:18:00,18280464,17627913,652551,2026-05-17 05:04:50
SUB_777B0717,2026-05-18 21:12:00,2026-05-18 22:22:00,9310300,2289002,7021298,2026-05-17 05:04:50
SUB_8BA13E23,2026-05-21 20:42:00,2026-05-21 23:15:00,91974180,83776003,8198177,2026-05-17 05:04:50
SUB_B355791F,2026-05-21 04:47:00,2026-05-21 06:23:00,11154439,3557726,7596713,2026-05-17 05:04:50
SUB_181C01B5,2026-05-21 02:09:00,2026-05-21 03:23:00,53705131,44842059,8863072,2026-05-17 05:04:50
SUB_277F8422,2026-05-21 05:40:00,2026-05-21 07:05:00,21526294,17929151,3597143,2026-05-17 05:04:50
SUB_B286B60E,2026-05-17 10:33:00,2026-05-17 11:28:00,69644172,66486567,3157605,2026-05-17 05:04:50
SUB_C814CE06,2026-05-20 07:54:00,2026-05-20 10:45:00,115945586,112337117,3608469,2026-05-17 05:04:50
SUB_7218933C,2026-05-22 17:41:00,2026-05-22 18:51:00,33820612,28215478,5605134,2026-05-17 05:04:50
SUB_1600888D,2026-05-23 09:16:00,2026-05-23 11:01:00,57116694,53647343,3469351,2026-05-17 05:04:50
SUB_2EBB92AF,2026-05-20 15:43:00,2026-05-20 16:09:00,120199289,111748692,8450597,2026-05-17 05:04:50
SUB_3D53A8B1,2026-05-20 10:19:00,2026-05-20 12:27:00,55599606,47671009,7928597,2026-05-17 05:04:50
SUB_16D92688,2026-05-20 09:57:00,2026-05-20 10:12:00,97547468,91801037,5746431,2026-05-17 05:04:50
SUB_E34CBFAF,2026-05-20 22:40:00,2026-05-20 23:41:00,8042191,1292263,6749928,2026-05-17 05:04:50
SUB_6FE9302A,2026-05-17 20:50:00,2026-05-17 22:21:00,72160189,64657280,7502909,2026-05-17 05:04:50
SUB_3A2C511E,2026-05-20 07:15:00,2026-05-20 07:51:00,57070133,51773026,5297107,2026-05-17 05:04:50
SUB_E5E91216,2026-05-23 02:08:00,2026-05-23 02:44:00,50849103,48602262,2246841,2026-05-17 05:04:50
SUB_5EEC9E8B,2026-05-19 23:33:00,2026-05-20 02:08:00,111595111,110273215,1321896,2026-05-17 05:04:50
SUB_31D3D7A4,2026-05-20 15:22:00,2026-05-20 16:06:00,114500412,109701258,4799154,2026-05-17 05:04:50
SUB_C814CE06,2026-05-20 22:01:00,2026-05-20 22:24:00,19417233,14634991,4782242,2026-05-17 05:04:50
SUB_7218933C,2026-05-18 13:17:00,2026-05-18 15:51:00,31966096,28968440,2997656,2026-05-17 05:04:50
SUB_BC5A4471,2026-05-21 12:31:00,2026-05-21 12:57:00,94052132,89860408,4191724,2026-05-17 05:04:50
SUB_D2A0814D,2026-05-16 13:26:00,2026-05-16 16:10:00,41235598,34672564,6563034,2026-05-17 05:04:50
SUB_0B36B93D,2026-05-20 19:27:00,2026-05-20 20:00:00,40002497,32786097,7216400,2026-05-17 05:04:50
SUB_D50EFA74,2026-05-16 22:50:00,2026-05-16 23:59:00,64806922,63859619,947303,2026-05-17 05:04:50
SUB_6331C875,2026-05-17 06:05:00,2026-05-17 07:13:00,101049479,94861950,6187529,2026-05-17 05:04:50
SUB_6FE9302A,2026-05-19 08:08:00,2026-05-19 08:48:00,77135346,75050761,2084585,2026-05-17 05:04:50
SUB_A4D45831,2026-05-17 03:04:00,2026-05-17 04:26:00,94965808,86711639,8254169,2026-05-17 05:04:50
SUB_1600888D,2026-05-17 12:27:00,2026-05-17 15:20:00,55005050,50181498,4823552,2026-05-17 05:04:50
SUB_21428928,2026-05-20 17:29:00,2026-05-20 19:44:00,33694377,30616556,3077821,2026-05-17 05:04:50
SUB_20CC0E16,2026-05-23 08:22:00,2026-05-23 09:53:00,97073094,88322920,8750174,2026-05-17 05:04:50
SUB_2922DC01,2026-05-22 06:11:00,2026-05-22 07:18:00,89907331,85265379,4641952,2026-05-17 05:04:50
SUB_339381EB,2026-05-19 16:17:00,2026-05-19 18:43:00,118757679,115585608,3172071,2026-05-17 05:04:50
SUB_3A2C511E,2026-05-19 09:17:00,2026-05-19 10:43:00,58378646,56898550,1480096,2026-05-17 05:04:50
SUB_CBB1AED0,2026-05-19 08:32:00,2026-05-19 10:43:00,90960700,86349167,4611533,2026-05-17 05:04:50
SUB_EC2AC8D4,2026-05-19 23:29:00,2026-05-19 23:47:00,2439244,394475,2044769,2026-05-17 05:04:50
SUB_5EEC9E8B,2026-05-23 03:01:00,2026-05-23 04:52:00,77299979,76348117,951862,2026-05-17 05:04:50
SUB_E34CBFAF,2026-05-19 00:18:00,2026-05-19 01:49:00,115778737,115011709,767028,2026-05-17 05:04:50
SUB_AFBD0939,2026-05-20 06:28:00,2026-05-20 06:33:00,68712317,64711103,4001214,2026-05-17 05:04:50
SUB_80171029,2026-05-22 09:33:00,2026-05-22 11:02:00,80336579,78312217,2024362,2026-05-17 05:04:50
SUB_705A5661,2026-05-19 00:31:00,2026-05-19 03:15:00,66407774,59410403,6997371,2026-05-17 05:04:50
SUB_6FE9302A,2026-05-21 11:00:00,2026-05-21 12:24:00,40782871,37103196,3679675,2026-05-17 05:04:50
SUB_0B36B93D,2026-05-16 11:40:00,2026-05-16 14:27:00,7528523,1994493,5534030,2026-05-17 05:04:50
SUB_3A2C511E,2026-05-20 10:02:00,2026-05-20 11:49:00,89712559,84241751,5470808,2026-05-17 05:04:50
SUB_6F6A5C0A,2026-05-22 22:12:00,2026-05-23 00:58:00,79268376,69479408,9788968,2026-05-17 05:04:50
SUB_20CC0E16,2026-05-19 21:50:00,2026-05-19 22:23:00,109062755,106694544,2368211,2026-05-17 05:04:50
SUB_BC5A4471,2026-05-20 00:24:00,2026-05-20 02:24:00,47208214,37651938,9556276,2026-05-17 05:04:50
SUB_B286B60E,2026-05-18 10:14:00,2026-05-18 10:58:00,86435644,79132419,7303225,2026-05-17 05:04:50
SUB_7351513A,2026-05-21 22:58:00,2026-05-22 00:48:00,54443726,48097070,6346656,2026-05-17 05:04:50
SUB_6FE9302A,2026-05-17 14:15:00,2026-05-17 14:47:00,13508616,5277363,8231253,2026-05-17 05:04:50
SUB_53694A69,2026-05-17 16:52:00,2026-05-17 19:25:00,75923049,74127308,1795741,2026-05-17 05:04:50
SUB_DBB8FA6E,2026-05-20 18:07:00,2026-05-20 18:18:00,90662024,86995307,3666717,2026-05-17 05:04:50
SUB_17963822,2026-05-18 15:49:00,2026-05-18 17:23:00,104326573,100486696,3839877,2026-05-17 05:04:50
SUB_A791FFC1,2026-05-19 16:35:00,2026-05-19 18:45:00,28363123,19356807,9006316,2026-05-17 05:04:50
SUB_2922DC01,2026-05-17 10:03:00,2026-05-17 13:01:00,80223013,78426511,1796502,2026-05-17 05:04:50
SUB_5DDC4B0B,2026-05-19 19:26:00,2026-05-19 21:00:00,60760222,56212654,4547568,2026-05-17 05:04:50
SUB_AFBD0939,2026-05-18 23:54:00,2026-05-19 01:14:00,30538950,21179511,9359439,2026-05-17 05:04:50
SUB_181C01B5,2026-05-23 09:43:00,2026-05-23 10:11:00,107912010,107001813,910197,2026-05-17 05:04:50
SUB_11633489,2026-05-17 09:59:00,2026-05-17 10:21:00,70854479,68986757,1867722,2026-05-17 05:04:50
SUB_7F6F4439,2026-05-21 01:44:00,2026-05-21 03:55:00,108510612,101429408,7081204,2026-05-17 05:04:50
SUB_6EDA1624,2026-05-21 09:16:00,2026-05-21 09:53:00,89655619,86595359,3060260,2026-05-17 05:04:50
SUB_768345F6,2026-05-17 18:50:00,2026-05-17 20:47:00,51752929,48328648,3424281,2026-05-17 05:04:50
SUB_AB78EE11,2026-05-18 10:08:00,2026-05-18 10:21:00,61735044,61206026,529018,2026-05-17 05:04:50
SUB_79C7CC4C,2026-05-22 00:58:00,2026-05-22 01:23:00,103047661,100701668,2345993,2026-05-17 05:04:50
SUB_7218933C,2026-05-22 13:53:00,2026-05-22 13:54:00,34600424,33993215,607209,2026-05-17 05:04:50
SUB_AB78EE11,2026-05-17 03:08:00,2026-05-17 04:07:00,42286217,36947351,5338866,2026-05-17 05:04:50
SUB_5D28F217,2026-05-16 11:47:00,2026-05-16 12:38:00,107738044,102405068,5332976,2026-05-17 05:04:50
SUB_777B0717,2026-05-18 04:44:00,2026-05-18 07:30:00,71379568,66834449,4545119,2026-05-17 05:04:50
SUB_21428928,2026-05-18 04:26:00,2026-05-18 07:11:00,81866031,80143559,1722472,2026-05-17 05:04:50
SUB_7834CF45,2026-05-17 10:56:00,2026-05-17 13:24:00,105446472,98030068,7416404,2026-05-17 05:04:50
SUB_3A2C511E,2026-05-18 16:07:00,2026-05-18 16:52:00,97920605,94492929,3427676,2026-05-17 05:04:50
SUB_7218933C,2026-05-18 17:10:00,2026-05-18 17:42:00,22128018,18657210,3470808,2026-05-17 05:04:50
SUB_5D28F217,2026-05-18 03:35:00,2026-05-18 03:51:00,70615511,68307599,2307912,2026-05-17 05:04:50
SUB_6F6A5C0A,2026-05-16 11:46:00,2026-05-16 13:37:00,13986854,4629847,9357007,2026-05-17 05:04:50
SUB_E5E91216,2026-05-19 11:04:00,2026-05-19 11:29:00,55377028,51732007,3645021,2026-05-17 05:04:50
SUB_17963822,2026-05-22 02:47:00,2026-05-22 05:00:00,107652464,106368914,1283550,2026-05-17 05:04:50
SUB_E5E91216,2026-05-22 02:54:00,2026-05-22 04:09:00,119382611,116930182,2452429,2026-05-17 05:04:50
SUB_E5E91216,2026-05-18 20:48:00,2026-05-18 21:22:00,16742740,11621733,5121007,2026-05-17 05:04:50
SUB_C4916B35,2026-05-19 02:40:00,2026-05-19 05:27:00,105575917,96248054,9327863,2026-05-17 05:04:50
SUB_F7AEB7C3,2026-05-21 20:48:00,2026-05-21 23:31:00,22477129,12631428,9845701,2026-05-17 05:04:50
SUB_C744240F,2026-05-22 17:49:00,2026-05-22 19:55:00,55987078,53916080,2070998,2026-05-17 05:04:50
SUB_7834CF45,2026-05-22 06:13:00,2026-05-22 08:59:00,85240371,81825842,3414529,2026-05-17 05:04:50
SUB_3A16BB29,2026-05-20 07:46:00,2026-05-20 08:30:00,63045929,60094434,2951495,2026-05-17 05:04:50
SUB_8362D113,2026-05-17 06:24:00,2026-05-17 08:02:00,9633308,2542656,7090652,2026-05-17 05:04:50
SUB_20CC0E16,2026-05-22 17:06:00,2026-05-22 17:25:00,19537805,11203053,8334752,2026-05-17 05:04:50
SUB_6F6A5C0A,2026-05-21 05:18:00,2026-05-21 08:03:00,68355895,67522348,833547,2026-05-17 05:04:50
SUB_6704A0B6,2026-05-22 12:03:00,2026-05-22 12:09:00,31922795,29513756,2409039,2026-05-17 05:04:50
SUB_DBB8FA6E,2026-05-22 23:28:00,2026-05-23 02:01:00,44562429,39736187,4826242,2026-05-17 05:04:50
SUB_D3DFA2F0,2026-05-21 20:07:00,2026-05-21 22:12:00,105941909,102242601,3699308,2026-05-17 05:04:50
SUB_16D92688,2026-05-20 21:37:00,2026-05-20 23:19:00,67338333,66431760,906573,2026-05-17 05:04:50
SUB_C2DA0D2F,2026-05-19 17:31:00,2026-05-19 19:26:00,102642638,94172690,8469948,2026-05-17 05:04:50
SUB_3A16BB29,2026-05-17 05:47:00,2026-05-17 07:55:00,105661115,99904351,5756764,2026-05-17 05:04:50
SUB_7F6F4439,2026-05-18 02:41:00,2026-05-18 03:04:00,94608975,93170933,1438042,2026-05-17 05:04:50
SUB_4FF7429D,2026-05-22 20:50:00,2026-05-22 23:16:00,112697597,110993356,1704241,2026-05-17 05:04:50
SUB_777B0717,2026-05-17 05:58:00,2026-05-17 07:47:00,31121077,25966601,5154476,2026-05-17 05:04:50
SUB_5ED67281,2026-05-17 17:39:00,2026-05-17 20:31:00,15555118,10734293,4820825,2026-05-17 05:04:50
SUB_AEB8067D,2026-05-19 04:11:00,2026-05-19 05:49:00,124834400,115845084,8989316,2026-05-17 05:04:50
SUB_5EEC9E8B,2026-05-19 07:19:00,2026-05-19 09:06:00,61251589,53425131,7826458,2026-05-17 05:04:50
SUB_D52A65F4,2026-05-18 11:27:00,2026-05-18 12:43:00,38611714,31032369,7579345,2026-05-17 05:04:50
SUB_1600888D,2026-05-18 09:20:00,2026-05-18 10:48:00,85444108,80536529,4907579,2026-05-17 05:04:50
SUB_1600888D,2026-05-19 17:28:00,2026-05-19 19:49:00,8627680,7799463,828217,2026-05-17 05:04:50
SUB_F9C262ED,2026-05-19 11:51:00,2026-05-19 12:17:00,112265374,112125026,140348,2026-05-17 05:04:50
SUB_A4D45831,2026-05-18 15:59:00,2026-05-18 17:19:00,4475908,1455937,3019971,2026-05-17 05:04:50
SUB_BEA8BB8E,2026-05-19 05:12:00,2026-05-19 07:31:00,19060650,15737387,3323263,2026-05-17 05:04:50
SUB_C4916B35,2026-05-20 12:00:00,2026-05-20 13:05:00,84094666,80007381,4087285,2026-05-17 05:04:50
SUB_181C01B5,2026-05-17 02:52:00,2026-05-17 05:05:00,93416553,89616019,3800534,2026-05-17 05:04:50
SUB_C621FBCD,2026-05-16 16:49:00,2026-05-16 17:32:00,99185794,98601825,583969,2026-05-17 05:04:50
SUB_31D3D7A4,2026-05-20 07:35:00,2026-05-20 09:56:00,64482450,56070255,8412195,2026-05-17 05:04:50
SUB_2922DC01,2026-05-18 11:33:00,2026-05-18 12:19:00,88233934,88168342,65592,2026-05-17 05:04:50
SUB_DBB8FA6E,2026-05-18 08:10:00,2026-05-18 08:54:00,109306372,100870332,8436040,2026-05-17 05:04:50
SUB_D3DFA2F0,2026-05-20 20:58:00,2026-05-20 22:09:00,21391360,21304902,86458,2026-05-17 05:04:50
SUB_5DDC4B0B,2026-05-21 00:37:00,2026-05-21 02:39:00,68299551,59463309,8836242,2026-05-17 05:04:50
SUB_A302D2B1,2026-05-16 21:38:00,2026-05-16 22:05:00,24905724,23418933,1486791,2026-05-17 05:04:50
SUB_2A4C73F5,2026-05-22 05:11:00,2026-05-22 05:54:00,4992783,4441302,551481,2026-05-17 05:04:50
SUB_EC2AC8D4,2026-05-18 21:28:00,2026-05-18 23:18:00,74380305,68569993,5810312,2026-05-17 05:04:50
SUB_D2A0814D,2026-05-22 19:47:00,2026-05-22 19:54:00,717069,661777,55292,2026-05-17 05:04:50
SUB_E7D13122,2026-05-22 10:01:00,2026-05-22 11:45:00,112420649,104949643,7471006,2026-05-17 05:04:50
SUB_692D7D22,2026-05-17 14:46:00,2026-05-17 15:01:00,34938270,30394390,4543880,2026-05-17 05:04:50
SUB_BC5A4471,2026-05-20 02:31:00,2026-05-20 03:23:00,124482491,115234332,9248159,2026-05-17 05:04:50
SUB_E7D13122,2026-05-19 08:28:00,2026-05-19 08:40:00,55838999,53985866,1853133,2026-05-17 05:04:50
SUB_31D3D7A4,2026-05-22 12:01:00,2026-05-22 14:04:00,42288931,40005631,2283300,2026-05-17 05:04:50
SUB_E7D13122,2026-05-22 16:10:00,2026-05-22 16:11:00,96568871,93284158,3284713,2026-05-17 05:04:50
SUB_F9C262ED,2026-05-21 15:08:00,2026-05-21 17:37:00,20070198,15731274,4338924,2026-05-17 05:04:50
SUB_705A5661,2026-05-18 20:33:00,2026-05-18 20:55:00,50295575,40676561,9619014,2026-05-17 05:04:50
SUB_A791FFC1,2026-05-19 07:16:00,2026-05-19 08:32:00,100896212,97683376,3212836,2026-05-17 05:04:50
SUB_0B36B93D,2026-05-21 07:26:00,2026-05-21 07:37:00,28701247,20757407,7943840,2026-05-17 05:04:50
SUB_5AC236BE,2026-05-20 03:03:00,2026-05-20 04:06:00,102087963,93554370,8533593,2026-05-17 05:04:50
SUB_A1B4C210,2026-05-22 18:45:00,2026-05-22 20:18:00,89332934,86484910,2848024,2026-05-17 05:04:50
SUB_5ED67281,2026-05-17 14:37:00,2026-05-17 15:23:00,105220475,104918960,301515,2026-05-17 05:04:50
SUB_11633489,2026-05-17 09:34:00,2026-05-17 09:53:00,44673718,43848588,825130,2026-05-17 05:04:50
SUB_2A4C73F5,2026-05-19 08:08:00,2026-05-19 08:22:00,101741610,95242889,6498721,2026-05-17 05:04:50
SUB_5EEC9E8B,2026-05-20 19:28:00,2026-05-20 21:39:00,70542878,69697031,845847,2026-05-17 05:04:50
SUB_11633489,2026-05-21 11:33:00,2026-05-21 12:50:00,102229028,96892755,5336273,2026-05-17 05:04:50
SUB_DBCD12C2,2026-05-20 20:23:00,2026-05-20 20:49:00,71041687,70093835,947852,2026-05-17 05:04:50
SUB_8BEBFAA0,2026-05-18 20:42:00,2026-05-18 22:42:00,125567811,117205196,8362615,2026-05-17 05:04:50
SUB_4FF7429D,2026-05-17 04:22:00,2026-05-17 06:50:00,88301283,83040204,5261079,2026-05-17 05:04:50
SUB_C621FBCD,2026-05-18 21:22:00,2026-05-18 22:41:00,120075325,117928693,2146632,2026-05-17 05:04:50
SUB_705A5661,2026-05-20 17:00:00,2026-05-20 18:06:00,116040722,115163311,877411,2026-05-17 05:04:50
SUB_5AC236BE,2026-05-22 18:37:00,2026-05-22 19:31:00,91061895,85158283,5903612,2026-05-17 05:04:50
SUB_17963822,2026-05-16 20:20:00,2026-05-16 20:34:00,39330354,33676969,5653385,2026-05-17 05:04:50
SUB_D7791E4A,2026-05-20 05:07:00,2026-05-20 05:51:00,116618021,115850087,767934,2026-05-17 05:04:50
SUB_AEB8067D,2026-05-21 12:36:00,2026-05-21 12:50:00,75985694,68186776,7798918,2026-05-17 05:04:50
